starLevelType,starLevel,upstarIteam,upstarIteamNum,upstarCard,upstarCardNum,starLimit,status
升星类型,星级等级,升星消耗道具,升星消耗数量,升星消耗卡牌星级,升星消耗卡牌数量,升星条件,状态
int,int,string,string,int,int,int,int
1,1,2,2,1,1,1,1
用于切换消耗品,升到星级消耗,升星消耗类型,,,,1)达成上1星级 2）达到上1星级满级状态,
1,2,30001;30002;30003,"1,2,3",1,1,1,1
1,3,30001;30002;30003,"1,2,4",2,2,1,1
1,4,30001;30002;30003,"1,2,5",3,3,1,1
1,5,30001;30002;30003,"1,2,6",4,4,1,1
1,6,3,1,,,2,1
1,7,3,1,,,2,1
1,8,3,1,,,2,1
1,9,3,1,,,2,1
2,2,31001,1,1,1,1,1
2,3,31001,1,2,2,1,1
2,4,31001,1,3,3,1,1
2,5,31001,1,4,4,1,1
2,6,3,1,,,2,1
2,7,3,1,,,2,1
2,8,3,1,,,2,1
2,9,3,1,,,2,1
